"","GSPC.Adjusted"
"886",1077.9599609375
"887",1078.75
"888",1095.33996582031
"889",1095.17004394531
"890",1096.47998046875
"891",1064.88000488281
"892",1071.25
"893",1083.47998046875
"894",1069.58996582031
"895",1093.67004394531
"896",1102.66003417969
"897",1115.01000976562
"898",1113.83996582031
"899",1106.13000488281
"900",1101.53002929688
"901",1101.59997558594
"902",1125.85998535156
"903",1120.4599609375
"904",1127.23999023438
"905",1125.81005859375
"906",1121.64001464844
"907",1127.7900390625
"908",1121.06005859375
"909",1089.46997070312
"910",1083.60998535156
"911",1079.25
"912",1079.38000488281
"913",1092.5400390625
"914",1094.16003417969
"915",1075.63000488281
"916",1071.68994140625
"917",1067.35998535156
"918",1051.86999511719
"919",1055.32995605469
"920",1047.21997070312
"921",1064.58996582031
"922",1048.92004394531
"923",1049.32995605469
"924",1080.2900390625
"925",1090.09997558594
"926",1104.51000976562
"927",1091.83996582031
"928",1098.86999511719
"929",1104.18005371094
"930",1109.55004882812
"931",1121.90002441406
"932",1121.09997558594
"933",1125.06994628906
"934",1124.66003417969
"935",1125.58996582031
"936",1142.7099609375
"937",1139.78002929688
"938",1134.28002929688
"939",1124.82995605469
"940",1148.67004394531
"941",1142.16003417969
"942",1147.69995117188
"943",1144.72998046875
"944",1141.19995117188
"945",1146.23999023438
"946",1137.03002929688
"947",1160.75
"948",1159.96997070312
"949",1158.06005859375
"950",1165.15002441406
"951",1165.31994628906
"952",1169.77001953125
"953",1178.09997558594
"954",1173.81005859375
"955",1176.18994140625
"956",1184.7099609375
"957",1165.90002441406
"958",1178.17004394531
"959",1180.26000976562
"960",1183.07995605469
"961",1185.61999511719
"962",1185.64001464844
"963",1182.44995117188
"964",1183.78002929688
"965",1183.26000976562
"966",1184.38000488281
"967",1193.56994628906
"968",1197.9599609375
"969",1221.06005859375
"970",1225.84997558594
"971",1223.25
"972",1213.40002441406
"973",1218.7099609375
"974",1213.5400390625
"975",1199.2099609375
"976",1197.75
"977",1178.33996582031
"978",1178.58996582031
"979",1196.68994140625
"980",1199.72998046875
"981",1197.83996582031
"982",1180.72998046875
"983",1198.34997558594
"984",1189.40002441406
"985",1187.76000976562
"986",1180.55004882812
"987",1206.06994628906
"988",1221.53002929688
"989",1224.7099609375
"990",1223.11999511719
"991",1223.75
"992",1228.28002929688
"993",1233
"994",1240.40002441406
"995",1240.4599609375
"996",1241.58996582031
"997",1235.22998046875
"998",1242.86999511719
"999",1243.91003417969
"1000",1247.07995605469
"1001",1254.59997558594
"1002",1258.83996582031
"1003",1256.77001953125
"1004",1257.5400390625
"1005",1258.51000976562
"1006",1259.78002929688
"1007",1257.88000488281
"1008",1257.64001464844
"1009",1271.86999511719
"1010",1270.19995117188
"1011",1276.56005859375
"1012",1273.84997558594
"1013",1271.5
"1014",1269.75
"1015",1274.47998046875
"1016",1285.9599609375
"1017",1283.76000976562
"1018",1293.23999023438
"1019",1295.02001953125
"1020",1281.92004394531
"1021",1280.26000976562
"1022",1283.34997558594
"1023",1290.83996582031
"1024",1291.18005371094
"1025",1296.63000488281
"1026",1299.5400390625
"1027",1276.33996582031
"1028",1286.11999511719
"1029",1307.58996582031
"1030",1304.03002929688
"1031",1307.09997558594
"1032",1310.86999511719
"1033",1319.05004882812
"1034",1324.56994628906
"1035",1320.88000488281
"1036",1321.86999511719
"1037",1329.15002441406
"1038",1332.31994628906
"1039",1328.01000976562
"1040",1336.31994628906
"1041",1340.43005371094
"1042",1343.01000976562
"1043",1315.43994140625
"1044",1307.40002441406
"1045",1306.09997558594
"1046",1319.88000488281
"1047",1327.21997070312
"1048",1306.32995605469
"1049",1308.43994140625
"1050",1330.96997070312
"1051",1321.15002441406
"1052",1310.13000488281
"1053",1321.81994628906
"1054",1320.02001953125
"1055",1295.10998535156
"1056",1304.28002929688
"1057",1296.39001464844
"1058",1281.86999511719
"1059",1256.88000488281
"1060",1273.71997070312
"1061",1279.2099609375
"1062",1298.38000488281
"1063",1293.77001953125
"1064",1297.5400390625
"1065",1309.66003417969
"1066",1313.80004882812
"1067",1310.18994140625
"1068",1319.43994140625
"1069",1328.26000976562
"1070",1325.82995605469
"1071",1332.41003417969
"1072",1332.86999511719
"1073",1332.63000488281
"1074",1335.5400390625
"1075",1333.51000976562
"1076",1328.17004394531
"1077",1324.4599609375
"1078",1314.16003417969
"1079",1314.41003417969
"1080",1314.52001953125
"1081",1319.68005371094
"1082",1305.14001464844
"1083",1312.61999511719
"1084",1330.35998535156
"1085",1337.38000488281
"1086",1335.25
"1087",1347.23999023438
"1088",1355.66003417969
"1089",1360.47998046875
"1090",1363.60998535156
"1091",1361.21997070312
"1092",1356.61999511719
"1093",1347.31994628906
"1094",1335.09997558594
"1095",1340.19995117188
"1096",1346.2900390625
"1097",1357.16003417969
"1098",1342.07995605469
"1099",1348.65002441406
"1100",1337.77001953125
"1101",1329.46997070312
"1102",1328.97998046875
"1103",1340.68005371094
"1104",1343.59997558594
"1105",1333.27001953125
"1106",1317.36999511719
"1107",1316.28002929688
"1108",1320.46997070312
"1109",1325.68994140625
"1110",1331.09997558594
"1111",1345.19995117188
"1112",1314.55004882812
"1113",1312.93994140625
"1114",1300.16003417969
"1115",1286.17004394531
"1116",1284.93994140625
"1117",1279.56005859375
"1118",1289
"1119",1270.97998046875
"1120",1271.82995605469
"1121",1287.86999511719
"1122",1265.42004394531
"1123",1267.64001464844
"1124",1271.5
"1125",1278.35998535156
"1126",1295.52001953125
"1127",1287.14001464844
"1128",1283.5
"1129",1268.44995117188
"1130",1280.09997558594
"1131",1296.67004394531
"1132",1307.41003417969
"1133",1320.64001464844
"1134",1339.67004394531
"1135",1337.88000488281
"1136",1339.21997070312
"1137",1353.21997070312
"1138",1343.80004882812
"1139",1319.48999023438
"1140",1313.64001464844
"1141",1317.71997070312
"1142",1308.86999511719
"1143",1316.14001464844
"1144",1305.43994140625
"1145",1326.72998046875
"1146",1325.83996582031
"1147",1343.80004882812
"1148",1345.02001953125
"1149",1337.43005371094
"1150",1331.93994140625
"1151",1304.89001464844
"1152",1300.67004394531
"1153",1292.28002929688
"1154",1286.93994140625
"1155",1254.05004882812
"1156",1260.33996582031
"1157",1200.06994628906
"1158",1199.38000488281
"1159",1119.4599609375
"1160",1172.53002929688
"1161",1120.76000976562
"1162",1172.64001464844
"1163",1178.81005859375
"1164",1204.48999023438
"1165",1192.76000976562
"1166",1193.89001464844
"1167",1140.65002441406
"1168",1123.53002929688
"1169",1123.81994628906
"1170",1162.34997558594
"1171",1177.59997558594
"1172",1159.27001953125
"1173",1176.80004882812
"1174",1210.07995605469
"1175",1212.92004394531
"1176",1218.89001464844
"1177",1204.42004394531
"1178",1173.96997070312
"1179",1165.23999023438
"1180",1198.61999511719
"1181",1185.90002441406
"1182",1154.22998046875
"1183",1162.27001953125
"1184",1172.86999511719
"1185",1188.68005371094
"1186",1209.10998535156
"1187",1216.01000976562
"1188",1204.08996582031
"1189",1202.08996582031
"1190",1166.76000976562
"1191",1129.56005859375
"1192",1136.43005371094
"1193",1162.94995117188
"1194",1175.38000488281
"1195",1151.06005859375
"1196",1160.40002441406
"1197",1131.42004394531
"1198",1099.22998046875
"1199",1123.94995117188
"1200",1144.03002929688
"1201",1164.96997070312
"1202",1155.4599609375
"1203",1194.89001464844
"1204",1195.5400390625
"1205",1207.25
"1206",1203.66003417969
"1207",1224.57995605469
"1208",1200.85998535156
"1209",1225.38000488281
"1210",1209.88000488281
"1211",1215.39001464844
"1212",1238.25
"1213",1254.18994140625
"1214",1229.05004882812
"1215",1242
"1216",1284.58996582031
"1217",1285.08996582031
"1218",1253.30004882812
"1219",1218.28002929688
"1220",1237.90002441406
"1221",1261.15002441406
"1222",1253.22998046875
"1223",1261.11999511719
"1224",1275.92004394531
"1225",1229.09997558594
"1226",1239.69995117188
"1227",1263.84997558594
"1228",1251.78002929688
"1229",1257.81005859375
"1230",1236.91003417969
"1231",1216.13000488281
"1232",1215.65002441406
"1233",1192.97998046875
"1234",1188.0400390625
"1235",1161.7900390625
"1236",1158.67004394531
"1237",1192.55004882812
"1238",1195.18994140625
"1239",1246.9599609375
"1240",1244.57995605469
"1241",1244.28002929688
"1242",1257.07995605469
"1243",1258.46997070312
"1244",1261.01000976562
"1245",1234.34997558594
"1246",1255.18994140625
"1247",1236.46997070312
"1248",1225.72998046875
"1249",1211.81994628906
"1250",1215.75
"1251",1219.66003417969
"1252",1205.34997558594
"1253",1241.30004882812
"1254",1243.71997070312
"1255",1254
"1256",1265.32995605469
"1257",1265.43005371094
"1258",1249.64001464844
"1259",1263.02001953125
"1260",1257.59997558594
"1261",1277.06005859375
"1262",1277.30004882812
"1263",1281.06005859375
"1264",1277.81005859375
"1265",1280.69995117188
"1266",1292.07995605469
"1267",1292.47998046875
"1268",1295.5
"1269",1289.08996582031
"1270",1293.67004394531
"1271",1308.0400390625
"1272",1314.5
"1273",1315.38000488281
"1274",1316
"1275",1314.65002441406
"1276",1326.06005859375
"1277",1318.43005371094
"1278",1316.32995605469
"1279",1313.01000976562
