"","BTC-USD.Adjusted"
"1276",8300.8603515625
"1277",8338.349609375
"1278",7916.8798828125
"1279",8223.6796875
"1280",8630.650390625
"1281",8913.4697265625
"1282",8929.2802734375
"1283",8728.4697265625
"1284",8879.6201171875
"1285",8668.1201171875
"1286",8495.7802734375
"1287",8209.400390625
"1288",7833.0400390625
"1289",7954.47998046875
"1290",7165.7001953125
"1291",6890.52001953125
"1292",6973.52978515625
"1293",6844.22998046875
"1294",7083.7998046875
"1295",7456.10986328125
"1296",6853.83984375
"1297",6811.47021484375
"1298",6636.31982421875
"1299",6911.08984375
"1300",7023.52001953125
"1301",6770.72998046875
"1302",6834.759765625
"1303",6968.31982421875
"1304",7889.25
"1305",7895.9599609375
"1306",7986.240234375
"1307",8329.1103515625
"1308",8058.669921875
"1309",7902.08984375
"1310",8163.419921875
"1311",8294.3095703125
"1312",8845.830078125
"1313",8895.580078125
"1314",8802.4599609375
"1315",8930.8798828125
"1316",9697.5
"1317",8845.740234375
"1318",9281.509765625
"1319",8987.0498046875
"1320",9348.48046875
"1321",9419.080078125
"1322",9240.5498046875
"1323",9119.009765625
"1324",9235.919921875
"1325",9743.8603515625
"1326",9700.759765625
"1327",9858.150390625
"1328",9654.7998046875
"1329",9373.009765625
"1330",9234.8203125
"1331",9325.1796875
"1332",9043.9404296875
"1333",8441.490234375
